FoodID,MeasureID,MeasureDescription,MeasureDescriptionF,YieldValue,YieldDateOfEntry,YieldDateEnd
6099,682,100g raw boneless,"100g cru, désossé",53,22-Jun-06 2:16:33 PM,14-Aug-14 10:58:02 AM
6100,682,100g raw boneless,"100g cru, désossé",53,22-Jun-06 2:17:29 PM,14-Aug-14 10:58:54 AM
6104,682,100g raw boneless,"100g cru, désossé",68,22-Jun-06 2:42:15 PM,27-Aug-14 9:21:03 AM
6106,682,100g raw boneless,"100g cru, désossé",68,22-Jun-06 2:43:24 PM,27-Aug-14 9:22:01 AM
6116,682,100g raw boneless,"100g cru, désossé",71,22-Jun-06 2:49:56 PM,27-Aug-14 9:25:04 AM
6127,682,100g raw boneless,"100g cru, désossé",68,23-Jun-06 8:00:04 AM,27-Aug-14 9:25:49 AM
6133,682,100g raw boneless,"100g cru, désossé",64,23-Jun-06 8:03:08 AM,27-Aug-14 9:26:26 AM
6138,682,100g raw boneless,"100g cru, désossé",74,23-Jun-06 8:34:37 AM,27-Aug-14 9:23:03 AM
6139,682,100g raw boneless,"100g cru, désossé",74,23-Jun-06 8:35:07 AM,27-Aug-14 9:22:14 AM
6151,682,100g raw boneless,"100g cru, désossé",69,23-Jun-06 8:44:37 AM,27-Aug-14 9:23:47 AM
6157,682,100g raw boneless,"100g cru, désossé",62,23-Jun-06 8:59:19 AM,27-Aug-14 9:24:27 AM
6158,682,100g raw boneless,"100g cru, désossé",62,23-Jun-06 9:03:10 AM,8-Sep-14 1:38:55 PM
,,,,,,
,,,,,,
