FoodID,MeasureID,ConversionFactorValue,ConvFactorDateOfEntry
4407,1338,0.33814,2014-11-05
4416,1467,0.15,2011-04-18
4428,1467,0.15,2011-04-18
4478,1601,0.45,2011-04-18
4493,1456,0.4,2011-04-18
4534,15,1.82,2014-02-19
4538,15,1.62,2014-02-19
4544,75,1.71,2014-02-19
4548,1609,0.96,2014-02-19
4554,438,1.09,2015-01-08
4554,1603,0.436,2015-01-08
4557,48,1.2,2014-02-19
4590,1649,2.41,2014-04-30
4609,535,0.69,2014-04-30
4616,27,0.91,2014-02-19
4621,27,1.55,2014-02-19
4623,27,1.82,2014-02-19
4634,27,0.78,2014-02-19
4650,502529,1.96,2014-02-19
4651,502529,1.9,2014-02-19
4652,502529,2.37,2014-02-19
4870,341,1.03978,2014-02-10
4870,383,1.29973,2014-02-10
4870,385,0.15597,2014-02-10
4870,389,1.81962,2014-02-10
4870,415,2.59946,2014-02-10
4870,428,0.31193,2014-02-10
4870,640,0.62387,2014-02-10
4886,1467,0.15,2011-04-07
4963,341,1.02288,2014-04-30
4963,415,2.55719,2014-04-30
5002,245,0.21,2013-12-12
5256,341,1.0365,2015-03-18
5256,383,1.2956,2015-03-18
5256,415,2.5912,2015-03-18
5257,341,1.0476,2015-03-17
5257,383,1.3095,2015-03-17
5257,415,2.619,2015-03-17
5258,341,1.0415,2015-03-18
5258,383,1.3019,2015-03-18
5258,415,2.6038,2015-03-18
5260,341,0.9595,2015-03-19
5260,383,1.1993,2015-03-19
5260,415,2.3987,2015-03-19
5267,341,1.0705,2015-03-19
5267,383,1.3381,2015-03-19
5267,415,2.6762,2015-03-19
5288,39,3.70167,2014-01-10
5288,341,1.0427,2014-01-10
5288,415,2.6068,2014-01-10
5328,415,2.4409,2015-04-21
5338,341,1.04247,2014-12-05
5338,383,1.30309,2014-12-05
5338,415,2.60618,2014-12-05
5339,341,1.05612,2014-12-02
5339,383,1.32015,2014-12-02
5339,415,2.6403,2014-12-02
5340,341,1.06352,2014-12-03
5340,383,1.3294,2014-12-03
5340,415,2.6588,2014-12-03
5348,341,1.0229,2015-03-20
5348,383,1.27859,2015-03-20
5348,415,2.5572,2015-03-20
5350,341,1.0557,2015-03-19
5350,383,1.3196,2015-03-19
5350,415,2.6392,2015-03-19
5361,341,1.20614,2014-12-05
5361,383,1.50767,2014-12-05
5361,415,3.01535,2014-12-05
5363,341,1.02186,2014-12-03
5363,383,1.27733,2014-12-03
5363,415,2.55465,2014-12-03
5381,152,0.34,2014-07-22
5381,183,0.3,2014-07-22
5381,341,0.56216,2014-07-22
5381,415,1.4054,2014-07-22
5384,152,0.2,2014-07-21
5384,183,0.29,2014-04-24
5412,368,0.11834,2013-07-30
5412,977,0.29586,2013-07-30
5441,332,0.26,2014-11-04
5441,342,0.1352,2014-11-04
5441,1428,0.338,2014-11-04
5462,245,0.081,2014-09-22
5486,306,0.57,2014-02-20
5501,341,0.03381,2015-05-26
5501,415,0.0845,2015-05-26
5560,1467,0.15,2011-04-28
5585,502469,0.27,2012-08-31
5608,341,0.18598,2014-11-03
5608,415,0.46494,2014-11-03
