MeasureID,MeasureDescription,MeasureDescriptionF
190,1 pickle,1 cornichon
194,1 pie (23 cm dia),1 tarte (23 cm dia)
1082,1 large fruit (8.3cm dia),1 gros fruit (8.3cm dia)
1264,1 cap,1 capuchon
1465,1/8 fruit,1/8 fruit
