FoodID,RefuseID,RefuseAmount,RefuseDateOfEntry
502328,750,0,2013-04-19
502329,750,0,2013-04-12
502330,750,0,2013-04-17
502331,750,0,2013-03-27
502332,750,0,2013-04-19
502333,750,0,2013-04-16
502334,750,0,2013-04-19
502335,750,0,2013-04-23
502336,750,0,2013-04-12
502337,750,0,2013-04-12
502338,750,0,2013-04-12
502339,750,0,2013-04-25
502340,750,0,2013-04-25
502341,750,10,2013-03-26
502341,502506,10,2013-03-26
502342,750,10,2013-03-26
502342,808,10,2013-03-26
502343,750,0,2013-03-26
502344,750,0,2013-03-26
502345,750,0,2013-03-26
502346,750,0,2013-03-27
502347,750,0,2013-04-03
502348,750,0,2013-04-03
502349,750,0,2013-04-03
502350,750,0,2013-04-03
502351,750,0,2013-04-03
502352,750,0,2013-04-03
502353,750,0,2013-04-03
502354,750,0,2013-04-03
502355,750,0,2013-04-03
502356,750,0,2013-04-04
502357,750,0,2013-04-04
502358,750,0,2013-04-04
502359,750,0,2013-04-04
502360,750,0,2013-05-21
502361,750,0,2013-05-21
502362,750,0,2013-05-22
502364,750,0,2013-12-12
502366,750,0,2014-07-08
502367,750,0,2013-12-12
502368,750,0,2013-12-12
502369,750,0,2013-12-12
502370,750,0,2013-12-12
502371,750,0,2013-12-12
502372,750,0,2013-12-12
502373,750,0,2013-12-12
502374,750,0,2013-12-12
502375,750,0,2013-12-17
502376,750,0,2014-07-08
502377,750,0,2014-07-08
502378,750,0,2013-12-12
502379,750,0,2013-12-12
502380,750,0,2013-12-12
502381,750,0,2013-12-12
502382,750,0,2013-12-12
502384,750,0,2013-12-12
502385,750,0,2013-12-12
502386,750,0,2014-01-03
502387,750,0,2014-01-03
502388,750,0,2013-12-12
502391,750,0,2013-10-11
502392,750,0,2013-10-11
502393,750,0,2013-10-11
502394,750,0,2013-10-11
502395,750,0,2013-10-11
502396,750,0,2013-10-11
502397,750,0,2013-10-24
502398,750,0,2013-10-24
502399,750,0,2013-10-24
502401,750,0,2015-04-22
502402,750,0,2015-04-24
502403,750,0,2015-04-24
502404,750,0,2015-04-24
502405,750,0,2015-04-24
502410,750,0,2014-01-07
502411,750,0,2014-02-20
502412,750,0,2014-04-22
502413,750,0,2014-04-22
502415,750,0,2014-04-22
502416,750,0,2014-04-22
502417,750,0,2014-04-22
502418,750,0,2014-04-22
502419,750,0,2014-05-14
502420,750,0,2014-02-20
502421,750,0,2014-02-20
502422,750,0,2014-02-21
502423,750,0,2014-02-21
502424,750,0,2014-02-21
502425,750,0,2014-02-21
502426,750,0,2014-02-21
502427,750,0,2014-02-21
502428,750,0,2014-02-21
502429,750,0,2014-02-21
502430,750,11,2014-02-21
502430,502506,11,2014-02-21
502431,750,10,2014-02-21
502431,502506,10,2014-02-21
502432,750,10,2014-02-24
502432,502506,10,2014-02-24
502433,750,11,2014-02-24
502433,808,11,2014-02-24
502434,750,11,2014-02-24
502434,808,11,2014-02-24
502435,750,9,2014-02-24
502435,808,9,2014-02-24
502436,750,11,2014-02-24
502436,808,11,2014-02-24
502437,750,0,2014-02-24
502438,750,0,2014-02-24
